address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
172 Forsyth St APT 1B,New York,NY,10002,400000,400.0,1.0,1.0,90,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/172-Forsyth-St-APT-1B-New-York-NY-10002/244810470_zpid/
309 E Houston St # PHB,New York,NY,10002,750000,NA,2.0,1.0,78,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/309-E-Houston-St-PHB-New-York-NY-10002/2090937332_zpid/
175 Rivington St APT 5E,New York,NY,10002,438000,NA,1.0,1.0,25,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/175-Rivington-St-APT-5E-New-York-NY-10002/72511428_zpid/
27 Essex St APT 5B,NEW YORK,NY,10002,725000,400.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/27-Essex-St-APT-5B-New-York-NY-10002/31495698_zpid/
455 Fdr Dr APT B803,New York,NY,10002,499000,NA,1.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/455-Fdr-Dr-APT-B803-New-York-NY-10002/2089947519_zpid/
170 Norfolk St APT 13,New York,NY,10002,525000,500.0,1.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/170-Norfolk-St-APT-13-New-York-NY-10002/79493711_zpid/
101 Allen St APT 4C,NEW YORK,NY,10002,438000,NA,0.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/101-Allen-St-APT-4C-New-York-NY-10002/31496247_zpid/
53 Stanton St APT 5D,New York,NY,10002,690000,NA,2.0,1.0,72,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/53-Stanton-St-APT-5D-New-York-NY-10002/2090867401_zpid/
30 Rutgers St APT 2A,NEW YORK,NY,10002,899000,798.0,2.0,1.0,51,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/30-Rutgers-St-APT-2A-New-York-NY-10002/89334415_zpid/
110 Forsyth St APT 11F,New York,NY,10002,689000,NA,2.0,1.0,2,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/110-Forsyth-St-APT-11F-New-York-NY-10002/2089623091_zpid/
252 South St # 25P,Manhattan,NY,10002,1540000,723.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-South-St-25P-Manhattan-NY-10002/2089608935_zpid/
252 South St # 29A,Manhattan,NY,10002,2585000,1162.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-South-St-29A-Manhattan-NY-10002/2089608933_zpid/
196 Orchard St # 10E,New York,NY,10002,5590000,2069.0,3.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/196-Orchard-St-10E-New-York-NY-10002/2097009616_zpid/
115 Norfolk St # 5,NEW YORK,NY,10002,1495000,888.0,2.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/115-Norfolk-St-5-New-York-NY-10002/117458166_zpid/
575 Grand St APT E1101,New York,NY,10002,869000,NA,2.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/575-Grand-St-APT-E1101-New-York-NY-10002/244707983_zpid/
113 Eldridge St APT 4A,NEW YORK,NY,10002,899000,911.0,1.0,2.0,35,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/113-Eldridge-St-APT-4A-New-York-NY-10002/63864178_zpid/
575 Grand St APT 1803,New York,NY,10002,595000,NA,1.0,1.0,11,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/575-Grand-St-APT-1803-New-York-NY-10002/2090751990_zpid/
196 Orchard St # 9B,New York,NY,10002,2350000,1042.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/196-Orchard-St-9B-New-York-NY-10002/2096377860_zpid/
252 South St # 70C,Manhattan,NY,10002,4318000,1487.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-South-St-70C-Manhattan-NY-10002/2094734669_zpid/
252 South St # 59E,Manhattan,NY,10002,3527000,1400.0,3.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-South-St-59E-Manhattan-NY-10002/2094817325_zpid/
