address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
50 West St PENTHOUSE 57-A,New York,NY,10006,12988000,3653.0,3.0,4.0,2,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/50-West-St-PENTHOUSE-57-A-New-York-NY-10006/244755522_zpid/
50 West St # 53C,New York,NY,10006,7740000,2669.0,4.0,4.0,2,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/50-West-St-53C-New-York-NY-10006/244715130_zpid/
88 Greenwich St APT 1704,NEW YORK,NY,10006,1300000,782.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-1704-New-York-NY-10006/89331821_zpid/
122 Greenwich St # 10,New York,NY,10006,5800000,1954.0,3.0,4.0,7,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/122-Greenwich-St-10-New-York-NY-10006/2089704899_zpid/
50 West St # 19A,New York,NY,10006,2975000,1662.0,2.0,3.0,10,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/50-West-St-19A-New-York-NY-10006/244868251_zpid/
123 Washington St APT 46B,NEW YORK,NY,10006,2649000,1175.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/123-Washington-St-APT-46B-New-York-NY-10006/112513403_zpid/
88 Greenwich St APT 324,NEW YORK,NY,10006,640000,606.0,0.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-324-New-York-NY-10006/89330980_zpid/
88 Greenwich St APT 3504,New York,NY,10006,1195000,759.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-3504-New-York-NY-10006/143072057_zpid/
123 Washington St APT 46E,NEW YORK,NY,10006,1398000,704.0,1.0,1.0,8,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/123-Washington-St-APT-46E-New-York-NY-10006/112513302_zpid/
88 Greenwich St APT 1013,NEW YORK,NY,10006,770000,620.0,0.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-1013-New-York-NY-10006/89335849_zpid/
122 Greenwich St # 9,New York,NY,10006,4600000,1528.0,2.0,3.0,17,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/122-Greenwich-St-9-New-York-NY-10006/2089875572_zpid/
88 Greenwich St APT 417,NEW YORK,NY,10006,835000,591.0,1.0,1.0,29,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-417-New-York-NY-10006/89329561_zpid/
88 Greenwich St APT 2903,New York,NY,10006,699000,NA,0.0,1.0,22,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-2903-New-York-NY-10006/143072063_zpid/
88 Greenwich St APT 1108,New York,NY,10006,725000,NA,0.0,1.0,17,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-1108-New-York-NY-10006/143071851_zpid/
88 Greenwich St APT 719,NEW YORK,NY,10006,695000,577.0,0.0,1.0,16,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-719-New-York-NY-10006/97514369_zpid/
Greenwich St APT 1505,New York,NY,10006,NA,661.0,0.0,NA,187,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/245083646_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Greenwich St APT 903,New York,NY,10006,NA,816.0,0.0,NA,264,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/245083644_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Greenwich St APT 1503,New York,NY,10006,NA,719.0,0.0,NA,284,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/245083645_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
123 Washington St # 49/50D,New York,NY,10006,8900000,2046.0,4.0,4.0,37,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/123-Washington-St-49-50D-New-York-NY-10006/2090291608_zpid/
